ZONE ID,TYPE,OPERATING TIMES,LATITUDE,LONGITUDE
146,COMMERCIAL,"12AM-7AM 9AM-4PM 7PM-12AM MON-FRI, SAT-SUN",-27.4696087,153.0234252
147,COMMERCIAL AND PASSENGER,"12AM-7AM 9AM-3PM 7PM-12AM MON-FRI, SAT-SUN",-27.469482,153.0238035
148,COMMERCIAL,"12AM-7AM 9AM-4PM 7PM-12AM MON-FRI, SAT-SUN",-27.468512,153.0250515
149,COMMERCIAL,"12AM-7AM 9AM-4PM 7PM-12AM MON-FRI, SAT-SUN",-27.468245,153.025176
150,COMMERCIAL,"12AM-7AM 9AM-4PM 7PM-12AM MON-FRI, SAT-SUN",-27.46816082,153.025482
151,COMMERCIAL AND PASSENGER,5AM-2PM MON-FRI,-27.47024641,153.0280149
152,COMMERCIAL AND PASSENGER,5AM-2PM MON-FRI,-27.47074623,153.0273685
154,COMMERCIAL AND PASSENGER,5AM-4PM MON-FRI,-27.46999197,153.0286484
155,COMMERCIAL AND PASSENGER,"12AM-4PM 7PM-12AM MON-FRI, SAT-SUN",-27.47017047,153.0288209
156,COMMERCIAL AND PASSENGER,5AM-7PM MON-FRI,-27.47090035,153.028879
157,COMMERCIAL AND PASSENGER,5AM-7PM MON-FRI,-27.47093574,153.0286444
158,COMMERCIAL AND PASSENGER,5AM-4PM MON-FRI,-27.47101768,153.0285386
159,COMMERCIAL AND PASSENGER,5AM-4PM MON-FRI,-27.4714695,153.027958
160,COMMERCIAL AND PASSENGER,5AM-7PM MON-FRI,-27.471753,153.0275915
161,COMMERCIAL AND PASSENGER,"12AM-6AM 9AM-4PM 7PM-12AM MON-FRI, SAT-SUN",-27.47218445,153.0277972
162,COMMERCIAL AND PASSENGER,AT ALL TIMES,-27.47137829,153.026881
163,COMMERCIAL,AT ALL TIMES,-27.47147525,153.0269762
164,COMMERCIAL,AT ALL TIMES,-27.4717361,153.027229
165,COMMERCIAL AND PASSENGER,AT ALL TIMES,-27.4712735,153.026494
166,COMMERCIAL AND PASSENGER,AT ALL TIMES,-27.47151389,153.0263924
167,COMMERCIAL AND PASSENGER,5AM-7PM MON-FRI,-27.47173251,153.0260985
168,COMMERCIAL AND PASSENGER,9AM-4PM MON-FRI,-27.4720466,153.0256988
169,COMMERCIAL AND PASSENGER,5AM-7PM MON-FRI,-27.47291663,153.0262993
170,COMMERCIAL AND PASSENGER,5AM-7PM MON-FRI,-27.47283359,153.0263967
171,COMMERCIAL AND PASSENGER,5AM-7PM MON-FRI,-27.4727395,153.026331
172,COMMERCIAL AND PASSENGER,5AM-7PM MON-FRI,-27.4722685,153.026936
173,COMMERCIAL AND PASSENGER,"12AM-7AM 10AM-2PM 7PM-12AM MON-FRI, SAT-SUN",-27.47233931,153.0270289
174,COMMERCIAL,10AM-2PM MON-FRI,-27.47209327,153.0273554
175,COMMERCIAL,AT ALL TIMES,-27.466503,153.0298595
176,COMMERCIAL,11AM-2PM MON-FRI,-27.4686505,153.022992
179,COMMERCIAL,"12AM-7AM 9AM-4PM 7PM-12AM MON-FRI, SAT-SUN",-27.46977685,153.0224919
181,COMMERCIAL,"5AM-7AM 9AM-4PM MON-FRI, 9AM-4PM SAT",-27.46931034,153.0218709
182,COMMERCIAL AND PASSENGER,9AM-4PM MON-FRI,-27.469169,153.0218955
183,COMMERCIAL AND PASSENGER,AT ALL TIMES,-27.46894688,153.0210947
184,COMMERCIAL AND PASSENGER,"12AM-7AM 9:30AM-3:30PM 7PM-12AM MON-FRI, SAT-SUN",-27.4675798,153.0245785
186,COMMERCIAL AND PASSENGER,7AM-4PM MON-FRI,-27.468065,153.02033
187,COMMERCIAL AND PASSENGER,AT ALL TIMES,-27.46672819,153.0200197
188,COMMERCIAL AND PASSENGER,"12AM-4PM 7PM-12AM MON-FRI, SAT-SUN",-27.46705727,153.0204409
189,COMMERCIAL AND PASSENGER,9AM-7PM MON-FRI,-27.46737731,153.0195072
190,COMMERCIAL AND PASSENGER,AT ALL TIMES,-27.46749307,153.0195557
193,COMMERCIAL AND PASSENGER,AT ALL TIMES,-27.46741847,153.0179996
194,COMMERCIAL AND PASSENGER,AT ALL TIMES,-27.4672086,153.0182269
195,COMMERCIAL AND PASSENGER,AT ALL TIMES,-27.4667753,153.0187823
196,COMMERCIAL AND PASSENGER,12AM-7AM 7PM-12AM DAILY,-27.46726947,153.0170639
197,COMMERCIAL AND PASSENGER,"12AM-7AM 7PM-12AM MON-FRI, SAT-SUN",-27.46716938,153.0160117
198,COMMERCIAL AND PASSENGER,7AM-7PM MON-FRI,-27.46678961,153.0166703
199,COMMERCIAL AND PASSENGER,AT ALL TIMES,-27.46615937,153.0168567
200,COMMERCIAL AND PASSENGER,5AM-7PM MON-FRI,-27.4666656,153.0174914
201,COMMERCIAL,9AM-4PM MON-FRI,-27.46714693,153.0234151
203,COMMERCIAL,7AM-7PM MON-FRI,-27.46535583,153.0241426
205,COMMERCIAL,5AM-7PM MON-FRI,-27.46556019,153.0234743
207,COMMERCIAL AND PASSENGER,AT ALL TIMES,-27.46435884,153.0209794
208,COMMERCIAL AND PASSENGER,5AM-7PM MON-SAT,-27.46395657,153.020834
209,COMMERCIAL AND PASSENGER,5AM-7PM MON-SAT,-27.46268933,153.0211697
210,COMMERCIAL AND PASSENGER,"12AM-7AM 9AM-12AM MON-FRI, SAT-SUN",-27.46138758,153.0197477
211,COMMERCIAL AND PASSENGER,"9AM-5:30PM MON-FRI, 8AM-12PM SAT",-27.46163903,153.0204526
212,COMMERCIAL AND PASSENGER,"12AM-7AM 9AM-4PM 4PM-12AM MON-FRI, SAT-SUN",-27.46292771,153.0317558
220,COMMERCIAL AND PASSENGER,AT ALL TIMES,-27.456968,153.031903
221,COMMERCIAL AND PASSENGER,AT ALL TIMES,-27.456314,153.032633
223,COMMERCIAL AND PASSENGER,"7AM-6PM, MON-FRI, 7AM-12PM, SAT",-27.455501,153.033391
224,COMMERCIAL AND PASSENGER,"8AM-5:30PM MON-FRI, 8AM-12PM SAT",-27.460326,153.031201
225,COMMERCIAL AND PASSENGER,12AM-4AM DAILY,-27.466611,153.025842
226,COMMERCIAL AND PASSENGER,12AM-4AM DAILY,-27.473652,153.026298
227,COMMERCIAL AND PASSENGER,12AM-4AM DAILY,-27.468267,153.020868
228,COMMERCIAL AND PASSENGER,AT ALL TIMES,-27.451456,153.045691
229,COMMERCIAL AND PASSENGER,AT ALL TIMES,-27.451275,153.044595
230,COMMERCIAL AND PASSENGER,5AM-7PM MON-FRI,-27.474349,153.026802
231,COMMERCIAL AND PASSENGER,9AM-4PM MON-FRI,-27.472868,153.025523
232,COMMERCIAL AND PASSENGER,AT ALL TIMES,-27.465426,153.028804
233,COMMERCIAL AND PASSENGER,ALL OTHER TIMES,-27.468844,153.021216
